          KEY                                SCORE
-4774682385979461075                  0
-4540151224647280338                  0
 8383137265183160280                  0
-8499136128035248449                  0
 8764199573723082863                  0
   92203223379267710                  -0.42013714717191447
 8246868427794516277                  -0.4735264785932219
 -196654434215828040                  -0.4000534734969534
-3594393194584251563                  -0.4230806554169929
 8400585328474964461                  0
  -59157110277913964                  -0.26487109796576475
-3486599221346373254                  -0.24824955695534295
-8261074270540557303                  0
 5146181407443095575                  -0.34034149761381594
-6978384136077409692                  -0.47368421052631554
 6952321770036314947                  0
-7719514650241470220                  0
 -215441696846770321                  -0.25608540391386675
  887348438547576596                  0
-7405231666483994841                  -0.41454020064883973
-9177050091811565018                  -0.3433606512522399
 3614671169024099797                  -0.31877451499056725
-3679943497064086438                  0
  607930695595399879                  0
-6362585639352590003                  0
 4763586179174041210                  -0.3686352336431481
-7863913661766777882                  -0.29689665219720485
-6414086436699590666                  -0.3549223463513983
-5682252422738897788                  -0.31089741749260413
  344120998584550203                  -0.25860129315494423
 6079673629026107956                  -0.47368421052631493
-3085142400588452619                  -0.3741049659429992
 -539592940746715112                  0
 1698374304938557135                  0
 5681442653800886216                  0
-8732164318394192982                  -0.3070446426151341
-4794715159787940325                  -0.2333899657424245
-1811557513455046290                  0
-2154871647798231189                  -0.37475196046476306
 7018884186251779292                  -0.35555524340620387
-4140053848424334500                  0
-8295380115990220108                  0
-3364442726281961639                  0
 4163967006709684992                  0
-5533670017321038629                  0
-4937823155381607964                  -0.4736842105263069
 4452565745114252754                  0
-7530134751134034043                  -0.33858527600573896
 7290908231127433751                  0
-2392895525875015256                  0
 5000460743828070027                  0
-4090776023659719640                  0
 7337290220936449636                  -0.2678670804191806
 4636670417452295747                  0
 3033816830852127802                  0
 7558103127465480968                  0
-9149141222983951145                  -0.2268505613183277
-2606761864497718400                  0
-1969632342905677751                  0
-1836282672261497902                  0
-6165062808328533136                  0
 5111807216604913063                  0
-1389245728194769384                  0
-2569961603147068058                  0
-8302376674196778641                  0
 6502596768344966726                  -0.47368421052631554
-2901722136995773766                  -0.37972689812379673
-7570110833634093907                  -0.24448473554529157
-6351480409226586766                  0
-4618869949620763058                  -0.2430968472945164
-3552066072461200553                  -0.25364719279747183
-1458273091683823760                  0
-7108309993627479125                  0
 7000910179852640478                  0
 6433963199455712409                  0
-2865524017414970682                  -0.47368421052631327
-6413537556154993512                  -0.22839329208499898
-6581031054516779399                  0
-3902129937140490698                  -0.4736842105262903
 8486351413636628886                  0
-5984838175846517943                  -0.30768373699651486
-7307330199674750298                  -0.47368421052631554
 1948978364278929878                  -0.3550930512969732
-3904002733901867164                  -0.39610540309963604
 2087470314937932707                  -0.32148426216333176
-3141551067674726198                  -0.4736842105262427
 8074706089862518961                  0
  963496111110982256                  -0.344185242269875
-1458898905143252093                  -0.35916671945606055
-1659494793264903232                  0
 9208628771781837117                  0
-3475547104322805436                  -0.33286506595751963
 4736233271357414947                  -0.427966723731043
 4980979356064105406                  -0.38012596734120085
  990525533908731266                  -0.32377063160031777
-1196027706940373183                  -0.2999469565324853
 6396719331543711275                  -0.2916797321686619
-4285001329642647963                  0
-4846615214544969102                  -0.28673574552914727
-6872475651539054403                  -0.3873265826517658
 7054269703530557820                  -0.3134144801535642
-9031132326239817975                  -0.34649514525430597
 1470085678630860103                  -0.39214123788474115
 8497035985881206576                  0
  917356078474813080                  -0.3453052923695799
 4846350854968710121                  -0.4729947260480855
-7496801540649254796                  0
  442729910078440512                  0
-8051131118532343559                  -0.25751320764193264
-4837180301003647564                  -0.3353806030454075
 4549483531636727717                  -0.39075323079953667
 9165269668516204544                  0
 6952372931738747094                  0
 7162647725808453026                  -0.37026016105002785
 4945792783087066259                  -0.4735264785932219
  129487661845053602                  0
-5080480443592263263                  0
 3163320854618385778                  -0.3057820471378175
-1099475068328322388                  -0.3583251724237059
  283925522218453987                  -0.2972701504724295
-8930286498192866190                  -0.47368421052631415
-2867898265584450731                  -0.35646396698643223
 4555145539899978122                  0
  936117580213837010                  0
-8343668943949939100                  -0.34741581000966437
 1595790406812525079                  -0.32351453869585967
-5398474621414032720                  -0.333045141057455
-7767174204521147963                  0
-3269926171853118812                  -0.4736842105263154
  387841082387529207                  -0.23400576576094845
-5270463997742588148                  -0.28006799707394375
-6116989458543551220                  0
 2367441221818885315                  0
 -503851792961472043                  -0.39544549059406553
 9179740789515207114                  -0.47368421052629506
-1252157368064254512                  -0.3221212258990909
-5239517940256119089                  -0.20430161195273006
 2860574850387270734                  -0.35622699920285805
-3453039686381230339                  -0.47368133223342784
-8451308674828025934                  0
-5456029404247808095                  0
 3166666301883027108                  -0.47368421052631554
-7872766704910039071                  0
 2642096369120372798                  0
 1676705045935204547                  0
-5105940313203217528                  -0.318391534955594
 7514217480504497880                  -0.42636789018694304
 5268801164245301044                  -0.28286467043869606
 6294309422743254906                  0
 9070286009758666207                  -0.20499339602022104
-5461699145173643742                  0
-3014203768838534860                  0
-5476871579570192721                  -0.13720885845191477
 8482951177250757419                  0
 8196060532031351638                  -0.4385549440121873
  550258347306490659                  -0.47344380215397325
  -32764873924647038                  0
-8538867308086468345                  0
 7411219090776397987                  -0.35189507163622663
-1201301121598301918                  -0.24465919016629434
-3261277587379471764                  0
-1871758784125087513                  0
 1227062526934517230                  0
-7165287345180227254                  0
 1199913379662230728                  -0.3563808816415995
 5476335741781426184                  -0.24717523662639387
-5831907170762220462                  -0.37396750831880365
-8270522510249139819                  -0.45119617028501
 3105159257989015178                  -0.2931749753794874
-9121550157224561255                  -0.3179959322959261
 -419531408359551993                  0
 8675552128530722382                  0
-4944280298789918459                  -0.4736549824806709
-2571851759685105726                  -0.47368421052631515
 2625598131494649912                  0
-7265850121788633859                  -0.33799303731325137
 4853095687961870574                  0
 8380199172373274551                  -0.30903054289289117
-4052700775480550130                  0
-2796694016949293852                  -0.3675559000298057
 -996521367563588147                  -0.4258152637498361
-3322261702060650666                  -0.3536059985473952
-3206265000296742216                  -0.22797297071602635
 7580854184986792506                  0
-2993921730749509167                  0
 9178310892290896278                  0
 6445619095933185673                  0
-7677609063136759066                  0
  -67628456535587829                  -0.4602388509279258
 -914235681390582052                  0
  125084840223716250                  -0.4457202338889106
 4925989445902901649                  -0.4736798235534643
-7597933159834464733                  0
-3022004279383029086                  0
 -327891010603528860                  0
 4007608001968883473                  -0.30857773076762196
-1035266604564719506                  0
 4010972282868826071                  -0.27239537532436914
-6392699192638452758                  0
 -868608350896484132                  -0.2984815551897999
 7338939887046858068                  0
 5703103634079444557                  -0.18440690789272618
 4718596618411590248                  -0.47368421052631376
-1062300241301043634                  -0.3198131354549421
 3720559114629869923                  -0.2740543053964903
 4408896281080202515                  -0.3654818875287759
-7036581090386369969                  -0.47338741006663365
 7171540112391180343                  0
-8190842743354968566                  -0.4132053650786195
-1931655711898251151                  -0.33207400996239894
 2136141661296115608                  -0.3596450875898385
